week,num_downloads,update_date
2020-09-27,102,2021-10-14
2020-10-04,175,2021-10-14
2020-10-11,83,2021-10-14
2020-10-18,63,2021-10-14
2020-10-25,386,2021-10-14
2020-11-01,122,2021-10-14
2020-11-08,401,2021-10-14
2020-11-15,691,2021-10-14
2020-11-22,201,2021-10-14
2020-11-29,190,2021-10-14
2020-12-06,264,2021-10-14
2020-12-13,172,2021-10-14
2020-12-20,107,2021-10-14
2020-12-27,66,2021-10-14
2021-01-03,106,2021-10-14
2021-01-10,190,2021-10-14
2021-01-17,228,2021-10-14
2021-01-24,117,2021-10-14
2021-01-31,230,2021-10-14
2021-02-07,288,2021-10-14
2021-02-14,382,2021-10-14
2021-02-21,303,2021-10-14
2021-02-28,275,2021-10-14
2021-03-07,195,2021-10-14
2021-03-14,180,2021-10-14
2021-03-21,196,2021-10-14
2021-03-28,383,2021-10-14
2021-04-04,249,2021-10-14
2021-04-11,216,2021-10-14
2021-04-18,174,2021-10-14
2021-04-25,212,2021-10-14
2021-05-02,266,2021-10-14
2021-05-09,223,2021-10-14
2021-05-16,421,2021-10-14
2021-05-23,285,2021-10-14
2021-05-30,451,2021-10-14
2021-06-06,1358,2021-10-14
2021-06-13,2237,2021-10-14
2021-06-20,1313,2021-10-14
2021-06-27,942,2021-10-14
2021-07-04,470,2021-10-14
2021-07-11,594,2021-10-14
2021-07-18,647,2021-10-14
2021-08-01,1486,2021-10-14
2021-08-08,2341,2021-10-14
2021-08-15,431,2021-10-14
2021-08-22,722,2021-10-14
2021-08-29,1672,2021-10-14
2021-09-05,890,2021-10-14
2021-09-12,10324,2021-10-14
2021-09-19,1251,2021-10-14
2021-09-26,1516,2021-10-14
2021-10-03,919,2021-10-14
2021-10-10,1049,2021-10-14
